accession,sample_name,collection_date,isolation_source,geo_loc_name,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1,ww_surv_target_1_known_present,collection_site_id,project_name,collected_by,sequenced_by,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_population_source,purpose_of_ww_sampling,concentration_method,extraction_method,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,BioSampleModel,enrichment_kit,amplicon_PCR_primer_scheme,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,experiment_id,SRA_id,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,organism,ww_processing_protocol,ww_endog_control_1,ww_endog_control_1_conc,ww_endog_control_1_protocol,ww_endog_control_1_units,ww_primary_sludge_retention_time,ww_surv_target_2_gene,ww_surv_target_2_known_present,ww_surv_target_2_protocol,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,quality_control_details,sample_title,sequencing_protocol_name,site_id,assembly,Center_Name,Collection_time,library_preparation_kit,wwtp,barcode,loader,specimen_processing,specimen_processing_details,specimen_processing_id,Note,ENA_first_public,INSDC_center_name,INSDC_status,Submitter_Id,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),investigation_type,name_of_the_sampling_site,scientific_name,sewage_type,surveillance_target,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,host,host_disease,isolate,Contains_RNA_extracts_(sample_codes),Cq_(N1),Cq_(N2),Date_of_amplification_(ARTIC),External_Id,Forward_file_name,INSDC_center_alias,INSDC_first_public,INSDC_last_update,No._replicate,Reverse_file_name,Sequenced_where/how,Storage_location_at_NIB,environment_(biome),environment_(feature),environment_(material),sequencing_method,wastewater/sludge_environmental_package,DNA_concentration_(Qubit),Date_of_sending/transfer_to_sequencing_location,amount_or_size_of_sample_collected,area_of_sampling_site,geographic_location_(region_and_locality),nucleic_acid_amplification,nucleic_acid_extraction,population_size_of_the_catchment_area,receipt_date,sample_storage_duration,sample_storage_location,sample_transportation_date,sample_transportation_time,sampling_time_point,size_of_the_catchment_area,surveillance_target_(scientific_name),ww_surv_target_1_extract_unit,file_name,ww_endog_control_2_conc,ww_endog_control_2_units,ww_sample_salinity,ww_surv_target_1_extract,ww_surv_target_2_extract_unit,ww_endog_control_2,ww_endog_control_2_protocol,samp_rep_tech,lat_lon,attribute_package,ProjectAccession,PublicAccession,Genus,Species,Dehosting_Method,env_broad_scale,env_local_scale,env_medium,source_uvig,virus_enrich_appr,quality_control_issue,Copies/uL_input,sample_id,filename,filename2,filename3,filename4,sequenced_by[1],sequenced_by[2],sample_number,broad-scale_environmental_context,depth,environmental_medium,local_environmental_context,library_design,options,File_name,DD,"Department_of_Endocrinology,_Diabetes_and_Metabolism,_University_Children's_Hospital,_University_Medical_Centre_Ljubljana",2022-01-17,2023-06-01,wastewater/sludge,18.8,wastewater_treatment_plant_influent,wastewater_treatment_plant,Slovenia,WW0024_22_AR_1_S5_L001_R1_001.fastq.gz,Severe_acute_respiratory_syndrome_coronavirus_2,WW0024_22_AR_1_S5_L001_R2_001.fastq.gz,46,29.8,WW0022_22_AR_2_S4_L001_R1_001.fastq.gz,WW0022_22_AR_2_S4_L001_R2_001.fastq.gz,Remarks,replicate,primer_set,Ct,primer_pool,Min._Collection_Date,sample_storage_temperature,sample_storage_time,ww_sample_Site,NA,8.94232,0,12.50551,10.0474,11.79841,9.57418,12.19092,9.58483,10.11528,10.36565,10.20975,10.17251,11.72463,10.415,12.27225,12.45051,10.14083,12.61494,11.72608,12.31886,10.24266,11.34173,9.86547,12.283,10.00571,8.42243,9.85318,9.53854,9.72176,geo_loc_country,geo_loc_region,broker_name,collector_name,fasta_file,geographic_location
SRR25652277,,2023-03-27,wastewater,USA: California,44000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,201-230327,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25652277,SRX21378434,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26378666,,2023-03-27,wastewater,USA: Virginia,350000.0,24,raw wastewater,composite,SARS-CoV-2,yes,51059-001-01-00-00,,,Virginia Division of Consolidated Laboratory Services,,,DCLS-SMP-WW11-WK81,,,,,SARS-CoV-2 Standard spiked with MHV,-1.0,,,,,SARS-CoV-2: wastewater surveillance,Illumina COVIDSeq Assay,NEB VarSkip 2b Short,,,Illumina adapter trimming,SRR26378666,SRX22085607,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,VA350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Virginia,,,,
SRR25651476,,2023-03-27,wastewater,USA: California,4000000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,89-230327,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25651476,SRX21377523,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26772628,20230327NY023027561A,2023-03-27,wastewater,USA: New York,26950.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230327NY023027561A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,8.126,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26772628,SRX22471285,7:06,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY26950,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR26378677,,2023-03-27,wastewater,USA: Virginia,81000.0,24,post grit removal,composite,SARS-CoV-2,yes,51165-001-01-00-00,,,Virginia Division of Consolidated Laboratory Services,,,DCLS-SMP-WW13-WK81,,,,,SARS-CoV-2 Standard spiked with MHV,-1.0,,,,,SARS-CoV-2: wastewater surveillance,Illumina COVIDSeq Assay,NEB VarSkip 2b Short,,,Illumina adapter trimming,SRR26378677,SRX22085596,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,VA81000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Virginia,,,,
SRR25503375,,2023-03-27,wastewater,USA: California,6500.0,0,raw wastewater,grab,SARS-CoV-2,yes,,,Biobot Analytics,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ca,8423.A,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,,ARTIC V5.3,,,,SRR25503375,SRX21234210,,,,,,,,,,,,,,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,CA6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25651477,,2023-03-27,wastewater,USA: California,4000000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,89-230327,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25651477,SRX21377522,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25651740,,2023-03-27,wastewater,USA: California,230000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,78-230327,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25651740,SRX21377890,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25650484,,2023-03-27,wastewater,USA: California,230000.0,0,primary sludge,grab,,no,,,,Verily Life Sciences,wastewater treatment plant,,107-230327,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25650484,SRX21376498,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26775101,20230327NY001026867A,2023-03-27,wastewater,USA: New York,80922.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230327NY001026867A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,20.0,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26775101,SRX22473571,6:30,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY80922,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR25650493,,2023-03-27,wastewater,USA: California,131000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,177-230327,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25650493,SRX21376489,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA131000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25652281,,2023-03-27,wastewater,USA: California,130000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,212-230327,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25652281,SRX21378430,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25650489,,2023-03-27,wastewater,USA: California,60000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,161-230327,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25650489,SRX21376493,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25652265,,2023-03-27,wastewater,USA: California,3500000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,19-230327,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25652265,SRX21378446,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26772617,20230327NY065030864A,2023-03-27,wastewater,USA: New York,27849.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230327NY065030864A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,7.26,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26772617,SRX22471296,8:00,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY27849,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR26378694,,2023-03-27,wastewater,USA: Virginia,300000.0,24,post grit removal,composite,SARS-CoV-2,yes,51510-001-01-00-00,,,Virginia Division of Consolidated Laboratory Services,,,DCLS-SMP-WW09-WK81,,,,,SARS-CoV-2 Standard spiked with MHV,-1.0,,,,,SARS-CoV-2: wastewater surveillance,Illumina COVIDSeq Assay,NEB VarSkip 2b Short,,,Illumina adapter trimming,SRR26378694,SRX22085579,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,VA300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Virginia,,,,
SRR26772619,20230327NY065025780B,2023-03-27,wastewater,USA: New York,33358.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230327NY065025780B,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,21.88,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26772619,SRX22471294,6:00,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY33358,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR25652280,,2023-03-27,wastewater,USA: California,130000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,212-230327,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25652280,SRX21378431,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26775109,20230326NY067027723A,2023-03-26,wastewater,USA: New York,39352.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230326NY067027723A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26775109,SRX22473563,23:30,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY39352,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR26775107,20230326NY067030571A,2023-03-26,wastewater,USA: New York,30613.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230326NY067030571A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26775107,SRX22473565,23:30,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY30613,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR25651490,,2023-03-26,wastewater,USA: California,250000.0,0,primary sludge,grab,,no,,,,Verily Life Sciences,wastewater treatment plant,,OSP700977,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25651490,SRX21377509,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25651487,,2023-03-26,wastewater,USA: California,1480000.0,0,primary sludge,grab,,no,,,,Verily Life Sciences,wastewater treatment plant,,SAC901391-230326,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25651487,SRX21377512,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA1480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26775113,20230326NY055028339A,2023-03-26,wastewater,USA: New York,487322.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230326NY055028339A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,143.0,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26775113,SRX22473559,23:59,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY487322,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR26378660,,2023-03-26,wastewater,USA: Virginia,300000.0,24,post grit removal,composite,SARS-CoV-2,yes,51107-001-01-00-00,,,Virginia Division of Consolidated Laboratory Services,,,DCLS-SMP-WW36-WK81,,,,,SARS-CoV-2 Standard spiked with MHV,-1.0,,,,,SARS-CoV-2: wastewater surveillance,Illumina COVIDSeq Assay,NEB VarSkip 2b Short,,,Illumina adapter trimming,SRR26378660,SRX22085613,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,VA300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Virginia,,,,
SRR26378675,,2023-03-26,wastewater,USA: Virginia,16563.0,24,post grit removal,composite,SARS-CoV-2,yes,51069-002-01-00-00,,,Virginia Division of Consolidated Laboratory Services,,,DCLS-SMP-WW12-WK81,,,,,SARS-CoV-2 Standard spiked with MHV,-1.0,,,,,SARS-CoV-2: wastewater surveillance,Illumina COVIDSeq Assay,NEB VarSkip 2b Short,,,Illumina adapter trimming,SRR26378675,SRX22085598,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,VA16563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Virginia,,,,
SRR25652414,,2023-03-26,wastewater,USA: California,45000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,200-230326,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25652414,SRX21378297,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
